"config","n","reps","tmse_mle_median","tmse_oracle_median","tmse_ratio","kl0_mle_median","kl0_oracle_median","kl_oracle_ratio","oracle_benchmark","delta_hat_iqr"
"S1 near-Gaussian symmetric",10,1000,62.4395553842999,29.9238468996511,2.08661525350298,0.731367484106155,0.518109474930337,1.41160800852849,1.41873669958938,0
"S1 near-Gaussian symmetric",20,1000,1.6908300323873,1.01829950523552,1.66044471562051,0.119610475227713,0.0956465079426335,1.25054722645444,1.41873669958938,0
"S1 near-Gaussian symmetric",30,1000,0.415953407579315,0.329535089862644,1.26224314306768,0.0599480002287675,0.0507854934031095,1.18041582766423,1.41873669958938,85.1713335072497
"S1 near-Gaussian symmetric",50,1000,0.18486950049447,0.158001564813593,1.17004854168739,0.0313273457352857,0.0277452829023475,1.12910529135874,1.41873669958938,85.0834871265181
"S1 near-Gaussian symmetric",100,1000,0.078449449177895,0.0668968133993809,1.17269336447379,0.0145589490640373,0.0123151007659943,1.18220299944592,1.41873669958938,84.744923501484
"S1 near-Gaussian symmetric",200,1000,0.0335816046928948,0.0276674594157826,1.2137581621874,0.0070020659091218,0.00603573724851726,1.16010118081961,1.41873669958938,83.0951462585821
"S1 near-Gaussian symmetric",500,1000,0.0148339300892281,0.0119331460795395,1.24308627333929,0.00312476018309686,0.00248506971215814,1.25741349138378,1.41873669958938,81.9528741277728
"S1 near-Gaussian symmetric",1000,1000,0.0072553095074392,0.0053477066589189,1.35671418987405,0.00152209485388134,0.00118009176490271,1.28981058859166,1.41873669958938,77.0026143398534
"S2 symmetric heavy tail",10,1000,93.8829131158814,1.90542747458089,49.2713127989988,0.858660272006548,0.222763824750235,3.854576805589,1.41873669958938,98.2877404471199
"S2 symmetric heavy tail",20,1000,4.85390803822456,0.42321995582482,11.4689961364528,0.169829265242663,0.0848089441376364,2.00249239003668,1.41873669958938,13.4749638942517
"S2 symmetric heavy tail",30,1000,0.518187153307339,0.20630970521092,2.51169547635955,0.0812510738113265,0.0450007697047336,1.80554853493494,1.41873669958938,2.91388367804897
"S2 symmetric heavy tail",50,1000,0.209167029376493,0.120509628625771,1.73568727878199,0.0420727316698477,0.0268212919229971,1.56863180903578,1.41873669958938,1.46560684523978
"S2 symmetric heavy tail",100,1000,0.0799465388574241,0.0521682423241246,1.53247522430814,0.0187650692999187,0.0127579554103403,1.4708523972979,1.41873669958938,0.834249109685488
"S2 symmetric heavy tail",200,1000,0.0373892203121151,0.0248726492965345,1.50322628950204,0.00894865183843395,0.00583909968411306,1.53253965894456,1.41873669958938,0.541627351070735
"S2 symmetric heavy tail",500,1000,0.0147191883041908,0.0096655539707315,1.52284994204805,0.00343204445177916,0.0024273385189297,1.41391257338612,1.41873669958938,0.315095747582552
"S2 symmetric heavy tail",1000,1000,0.00683400680349545,0.00460961081704576,1.48255613645823,0.00173516619115874,0.00121014613883364,1.43384847125251,1.41873669958938,0.22660907634211
"S3 skewed moderate tail",10,1000,43.028433910969,2.86960860329276,14.9945305647591,0.571012115912033,0.261028424135019,2.1875476504301,1.41873669958938,95.995021006485
"S3 skewed moderate tail",20,1000,3.64742015982435,0.657260030028573,5.54943248209659,0.164028688703776,0.0882104186082713,1.85951604460921,1.41873669958938,96.256185154906
"S3 skewed moderate tail",30,1000,1.16476888599325,0.29483347570803,3.95059917533485,0.0906154447996758,0.050565675002431,1.79203471120121,1.41873669958938,96.1716595522958
"S3 skewed moderate tail",50,1000,0.486904231395569,0.142086932162914,3.42680515360338,0.0533024394282638,0.0296649664295296,1.79681441928768,1.41873669958938,96.1064734201519
"S3 skewed moderate tail",100,1000,0.127589953636389,0.0620058250261956,2.05770915204314,0.021545680792989,0.0136338415571995,1.58030887351859,1.41873669958938,6.4634984802206
"S3 skewed moderate tail",200,1000,0.0459209532280319,0.0273196682122092,1.68087521676086,0.008512256828648,0.00557433437676554,1.5270445318329,1.41873669958938,3.03943307404742
"S3 skewed moderate tail",500,1000,0.0164542420145518,0.0111686137344778,1.47325732680298,0.00360619812381832,0.00239040782179365,1.5086120832354,1.41873669958938,1.65993081856504
"S3 skewed moderate tail",1000,1000,0.00708496259636741,0.00518070713068365,1.36756670810544,0.00164262847640903,0.00111055122806037,1.47911094500157,1.41873669958938,1.06135618603968
