"config","n","method","reps","pct_at_best","gap_median","gap_q95","tmse_median","kl0_median","delta_median","pct_fallback","pct_start_err","ms_per_fit"
"S2 symmetric heavy tail",400,"M0: 4 deterministic starts (shipped)",500,100,1.90880200534593e-09,3.06951449147164e-08,0.0170311196726514,0.00428492542093006,1.99238490492216,0,0,40.987669467926
"S2 symmetric heavy tail",400,"M1: 50 LHS random starts",500,100,0,3.58454599336255e-11,0.017031238451286,0.00428511424120259,1.99238256626717,0,0,615.646680355072
"S2 symmetric heavy tail",400,"M2: Nelder-Mead (reparametrised)",500,100,4.43029080088309e-08,8.99499298157024e-08,0.017031044533199,0.00428494888096072,1.99237221823084,0,0,52.1514892578125
"S3 skewed moderate tail",20,"M0: 4 deterministic starts (shipped)",500,85,1.12039799660124e-09,0.298486849574646,4.42424442685273,0.188627275806553,49.87962498646,0,0,10.4194560050964
"S3 skewed moderate tail",20,"M1: 50 LHS random starts",500,100,0,1.51104213585995e-09,6.48280030101242,0.213951403658991,100,0,0,125.484982013702
"S3 skewed moderate tail",20,"M2: Nelder-Mead (reparametrised)",500,83,3.82989640002052e-09,0.215476313520917,4.71045615051288,0.192131855504754,99.9771957766391,0,0,28.1272897720337
"S3 skewed moderate tail",50,"M0: 4 deterministic starts (shipped)",500,97.4,3.21814042081314e-09,3.36210943885362e-07,0.458629705573904,0.0507830709344416,6.76289078910168,0,0,11.6460418701172
"S3 skewed moderate tail",50,"M1: 50 LHS random starts",500,100,0,1.73530409597333e-08,0.473743206334166,0.0509986330453479,6.81604746131713,0,0,148.343232631683
"S3 skewed moderate tail",50,"M2: Nelder-Mead (reparametrised)",500,98.2,4.8213308900813e-09,2.39798247037015e-08,0.463854990228684,0.0509451029967247,6.81587959433768,0,0,26.0717105865479
"S3 skewed moderate tail",100,"M0: 4 deterministic starts (shipped)",500,99.4,5.51186474240239e-09,5.58633004743569e-08,0.121984081107032,0.0215820957448467,6.02926093347942,0,0,15.4419674873352
"S3 skewed moderate tail",100,"M1: 50 LHS random starts",500,100,0,8.43077998524677e-09,0.12197892904218,0.0215816802534176,6.02912425248243,0,0,206.277292251587
"S3 skewed moderate tail",100,"M2: Nelder-Mead (reparametrised)",500,100,8.81469475189078e-09,2.83303805304058e-08,0.121980975340027,0.0215842045820989,6.02908329253324,0,0,28.8948287963867
"S3 skewed moderate tail",400,"M0: 4 deterministic starts (shipped)",500,100,1.29259092318534e-08,6.43218697859992e-08,0.0204644199777651,0.0045238935768023,5.06302182045283,0,0,46.4401335716248
"S3 skewed moderate tail",400,"M1: 50 LHS random starts",500,100,0,2.24624727707123e-09,0.0204634176667176,0.00452459073611636,5.06298766837904,0,0,681.22194480896
"S3 skewed moderate tail",400,"M2: Nelder-Mead (reparametrised)",500,100,3.32951799464354e-08,7.53639994854893e-08,0.0204636390158125,0.00452405341856733,5.06295265824263,0,0,68.3066067695618
"S4 skewed Cauchy tail",20,"M0: 4 deterministic starts (shipped)",500,97.6,1.51306878137802e-09,5.11550776849387e-08,0.820082711316052,0.140618803776459,1.12100049768434,0,0,11.098198890686
"S4 skewed Cauchy tail",20,"M1: 50 LHS random starts",500,100,0,4.85843614228541e-09,0.823299966104059,0.140626937308982,1.12099584778727,0,0,159.292763233185
"S4 skewed Cauchy tail",20,"M2: Nelder-Mead (reparametrised)",500,90,4.19891321712385e-09,0.143035606014439,0.785537574184226,0.133606529849308,1.10652006012255,0,0,30.0166411399841
"S4 skewed Cauchy tail",50,"M0: 4 deterministic starts (shipped)",500,99.6,2.0720349880321e-09,3.34959487702235e-08,0.177817639963057,0.0378417798801932,0.996809086432318,0,0,12.6609902381897
"S4 skewed Cauchy tail",50,"M1: 50 LHS random starts",500,100,0,6.07344148306765e-09,0.177822596996406,0.0376297858262948,0.996810065805062,0,0,188.913844108582
"S4 skewed Cauchy tail",50,"M2: Nelder-Mead (reparametrised)",500,98.8,7.46657491390579e-09,1.93212585486435e-08,0.174662383353925,0.0376925186284727,0.996800256999208,0,0,27.0325865745544
"S4 skewed Cauchy tail",100,"M0: 4 deterministic starts (shipped)",500,99.8,3.3764138152037e-09,2.97903952173328e-08,0.0765162333348899,0.0175896325040615,0.978775098837923,0,0,18.1340184211731
"S4 skewed Cauchy tail",100,"M1: 50 LHS random starts",500,100,0,1.02654240663469e-09,0.0765161833223615,0.0175898260083227,0.978781833905395,0,0,266.873533725739
"S4 skewed Cauchy tail",100,"M2: Nelder-Mead (reparametrised)",500,100,1.54387720385785e-08,3.6678133596979e-08,0.076512434798264,0.0175889912618227,0.978779204773409,0,0,31.8800835609436
"S4 skewed Cauchy tail",400,"M0: 4 deterministic starts (shipped)",500,100,1.09884581434017e-08,8.81600385582713e-08,0.0181196866364896,0.00446641456829487,0.997062201031663,0,0,43.5144858360291
"S4 skewed Cauchy tail",400,"M1: 50 LHS random starts",500,100,0,1.07885398392681e-09,0.0181200102840409,0.00446654861504641,0.997063673990704,0,0,668.562565326691
"S4 skewed Cauchy tail",400,"M2: Nelder-Mead (reparametrised)",500,100,6.64556409901707e-08,1.48382878251141e-07,0.018117461547774,0.00446637340293409,0.997070057887844,0,0,58.1315679550171
