"config","n","reps","theta_bias","theta_rmse","w_bias","w_rmse","sigma_bias","sigma_rmse","delta_median","delta_iqr","kl_median","pct_delta_up","pct_delta_lo","pct_w_bound","pct_fallback","pct_start_err","ms_per_fit"
"S2 symmetric heavy tail",30,1000,0.0141772471661772,0.586108311737524,0.000923486287202273,0.157317622807721,-0.0294648586473482,0.288388321975602,2.3136620006767,2.7485295387593,0.0775919469677466,9.1,0,2.7,0,0,4.22904300689697
"S2 symmetric heavy tail",50,1000,0.0191202370544853,0.369470576162335,0.00787644261858778,0.105363116951082,-0.0143990145092413,0.225132235922172,2.08774552592031,1.14149856096909,0.0402525928937446,1.6,0,0.2,0,0,4.58158373832703
"S2 symmetric heavy tail",100,1000,0.010941166324741,0.241152349795655,0.00323811753307049,0.0673720228489687,0.00229618819133996,0.15090235699836,2.08723871404936,0.8795035451527,0.0185298892218328,0.2,0,0,0,0,6.33262777328491
"S2 symmetric heavy tail",200,1000,0.00660968752138215,0.16341588599637,0.00106931041964881,0.0469380680461847,-0.000181869503368749,0.10279886243153,2.04727037327958,0.504769778181255,0.00881188107125812,0,0,0,0,0,9.82308101654053
"S2 symmetric heavy tail",500,1000,0.00467391911867979,0.101848495166072,0.00201771030419786,0.0291125470840914,0.000282697409935378,0.0647881638609179,2.00585015815608,0.339836327979038,0.00312429947944739,0,0,0,0,0,20.7604420185089
"S2 symmetric heavy tail",1000,1000,0.00139614687025192,0.0723411237803994,0.000804863116264653,0.0204489221431535,0.000342803746842182,0.0446251497829515,2.00274135684357,0.223141613469572,0.00166621837307988,0,0,0,0,0,38.5685133934021
"S3 skewed moderate tail",10,1000,0.146578351312444,1.06464882256593,0.0109229819204013,0.308391504264103,-0.377056463001864,0.529091093792136,100,94.6362713404021,0.60514530864623,65.9,0.4,58.6,0,0,3.96703577041626
"S3 skewed moderate tail",20,1000,0.0019770962410118,0.747121271833722,-0.0105260780023752,0.212335545450339,-0.176627033111729,0.382824667795257,100,95.8138852908513,0.179446400018584,51.1,0,27,0,0,4.3679940700531
"S3 skewed moderate tail",30,1000,-0.0228110797442581,0.578943461589763,-0.0128214448609264,0.15816726866911,-0.101615122156516,0.298274135943339,9.3305208119685,96.278847053113,0.0857914429896634,37.9,0,11.5,0,0,4.74131679534912
"S3 skewed moderate tail",50,1000,0.00947750299338207,0.417235329611336,-0.000825822877059654,0.110951326108321,-0.0236120426993892,0.210752906112903,6.98419746669854,96.0308486453594,0.0487625524638453,25.1,0,2.8,0,0,5.54358673095703
