"config","theta_slope","theta_r2","w_slope","w_r2","sigma_slope","sigma_r2","theory_slope","n_grid","n_min","n_max"
"S1 near-Gaussian symmetric",-0.563453817434053,0.994219640823527,-0.602129245865924,0.995345407388216,-0.63169981777147,0.98385877614978,-0.5,8,10,1000
"S2 symmetric heavy tail",-0.622499605504265,0.991587104080005,-0.608256438555341,0.993494332098761,-0.548199404664969,0.999178034132222,-0.5,8,10,1000
"S3 skewed moderate tail",-0.587510339517309,0.997395808794388,-0.605094838937474,0.996769365072674,-0.550025549845515,0.998786822939381,-0.5,8,10,1000
"S4 skewed Cauchy tail",-0.632767819854457,0.990800545969272,-0.576001502057741,0.997365724457979,-0.564932534238438,0.998614941288323,-0.5,8,10,1000
