"config","n","box","reps","nll_median","d_nll_median","d_nll_q95","kl0_median","d_kl0_median","d_kl0_q95","delta_median","pct_delta_up","pct_w_bound","pct_sigma_lo","pct_start_err","pct_fallback","ms_per_fit"
"S2 symmetric heavy tail",50,"d_min=0.2                            ",500,95.5706056478639,0,5.1822325985995e-09,0.0426525197063607,0,2.66292730070686e-06,2.26116706774637,1.8,0.2,0,0,0,4.8038854598999
"S2 symmetric heavy tail",50,"shipped:  w[.05,.95] d[.5,100] s>1e-6",500,95.5706056504424,0,0,0.0426524402738484,0,0,2.26116082041966,1.8,0.2,0,0,0,4.76133108139038
"S2 symmetric heavy tail",50,"sigma > 1e-3                         ",500,95.5706056489707,0,3.75197686253159e-09,0.0426524402738484,0,3.71240121879793e-06,2.26116082041966,1.8,0.2,0,0,0,4.75682783126831
"S2 symmetric heavy tail",50,"w[.01,.99]                           ",500,95.5706056470725,3.45323769579409e-12,8.08222040404869e-09,0.0426521090757961,5.04692766658404e-09,7.82549374487573e-06,2.26117386255224,1.8,0.2,0,0,0,4.7204794883728
"S2 symmetric heavy tail",100,"d_max=30                             ",500,193.417952445638,0,0,0.0177713762711707,0,0,2.12158562970168,0,0,0,0,0,6.78500604629517
"S2 symmetric heavy tail",100,"d_max=500                            ",500,193.417952445638,0,0,0.0177713762711707,0,0,2.12158562970168,0,0,0,0,0,6.51616382598877
"S2 symmetric heavy tail",100,"d_min=0.2                            ",500,193.417952445619,0,6.98844502267092e-09,0.0177711918807821,0,1.82867223234972e-06,2.12159095976681,0,0,0,0,0,6.48113775253296
"S2 symmetric heavy tail",100,"shipped:  w[.05,.95] d[.5,100] s>1e-6",500,193.417952445638,0,0,0.0177713762711707,0,0,2.12158562970168,0,0,0,0,0,6.49962949752808
"S2 symmetric heavy tail",100,"sigma > 1e-3                         ",500,193.417952445638,0,4.27744595299373e-09,0.0177712955725334,0,1.13465764558524e-06,2.12159113535327,0,0,0,0,0,6.54409742355347
"S2 symmetric heavy tail",100,"w[.01,.99]                           ",500,193.417952445529,-1.87583282240666e-12,7.8821997817613e-09,0.0177707843010996,-2.37763748576689e-09,2.07994443579282e-06,2.12159583183063,0,0,0,0,0,6.5340723991394
"S2 symmetric heavy tail",400,"d_max=30                             ",500,782.867705807669,0,0,0.00428492542093006,0,0,1.99238490492216,0,0,0,0,0,17.7375388145447
"S2 symmetric heavy tail",400,"d_max=500                            ",500,782.867705807669,0,0,0.00428492542093006,0,0,1.99238490492216,0,0,0,0,0,17.7256565093994
"S2 symmetric heavy tail",400,"d_min=0.2                            ",500,782.867705808091,0,3.06566505514638e-08,0.00428506021148037,-1.59826132471903e-10,6.70304323423763e-07,1.99235857146484,0,0,0,0,0,17.7569813728333
"S2 symmetric heavy tail",400,"shipped:  w[.05,.95] d[.5,100] s>1e-6",500,782.867705807669,0,0,0.00428492542093006,0,0,1.99238490492216,0,0,0,0,0,17.770327091217
"S2 symmetric heavy tail",400,"sigma > 1e-3                         ",500,782.867705808087,0,1.18292177830881e-08,0.00428509883331848,0,3.47779395185303e-07,1.99238513259877,0,0,0,0,0,17.7511157989502
"S2 symmetric heavy tail",400,"w[.01,.99]                           ",500,782.867705809751,-6.3664629124105e-12,2.95480276690796e-08,0.00428513102345078,-1.2907872149609e-09,7.74801006565211e-07,1.99237906507344,0,0,0,0,0,17.9635262489319
"S3 skewed moderate tail",20,"d_max=30                             ",500,32.4186305700714,0.0011128312957176,0.103191287226143,0.16726738062519,-0.00600399629158645,0.803160220034757,30,51.8,30.4,0,0,0,4.25491285324097
"S3 skewed moderate tail",20,"d_max=500                            ",500,32.3320385763009,0,0.0346026851764421,0.194817242224422,0,1.10914064953859,49.87962498646,47.8,31.6,0,0,0,5.24955797195435
"S3 skewed moderate tail",20,"d_min=0.2                            ",500,32.3589376099764,0,1.58534021466039e-09,0.188626599618945,0,2.96588346707233e-06,49.87962498646,49,31.4,0,0,0,4.57039737701416
"S3 skewed moderate tail",20,"shipped:  w[.05,.95] d[.5,100] s>1e-6",500,32.3589376099764,0,0,0.188627275806553,0,0,49.87962498646,49,31.4,0,0,0,4.62605762481689
"S3 skewed moderate tail",20,"sigma > 1e-3                         ",500,32.3589376100601,0,6.27718463874771e-09,0.188626391659086,0,2.81700643706695e-05,44.9859394365057,48.8,31.4,0,0,0,4.57610988616943
"S3 skewed moderate tail",20,"w[.01,.99]                           ",500,32.231951658644,-2.18179252442496e-10,0.597388987557839,0.213951284385737,9.4590231104752e-07,6.69024973299677,46.8933545059886,48.6,33.4,0,0,0,4.92195224761963
"S3 skewed moderate tail",50,"d_max=30                             ",500,83.7891900576461,0,0.150797823380358,0.0461798485236764,0,0.0479765982301711,6.76289078910168,26.8,3.8,0,0,0,5.47891139984131
"S3 skewed moderate tail",50,"d_max=500                            ",500,83.7718061860844,0,0.0479050839621088,0.0515311260288335,0,0.0319574135858046,6.76289078910168,21.8,4.2,0,0,0,6.09934616088867
"S3 skewed moderate tail",50,"d_min=0.2                            ",500,83.7718061756395,0,5.82141055360807e-09,0.0507824457715556,0,3.75347845504615e-06,6.76289078910168,23.8,4,0,0,0,5.77720499038696
"S3 skewed moderate tail",50,"shipped:  w[.05,.95] d[.5,100] s>1e-6",500,83.7718061860844,0,0,0.0507830709344416,0,0,6.76289078910168,23.8,4,0,0,0,5.74411582946777
"S3 skewed moderate tail",50,"sigma > 1e-3                         ",500,83.7718061754469,0,1.35500648923426e-08,0.0507785034073381,0,9.09692100976993e-06,6.76279410890535,23.8,4,0,0,0,5.80020713806152
"S3 skewed moderate tail",50,"w[.01,.99]                           ",500,83.7718062632499,-3.62661012331955e-11,4.09608463058915e-07,0.0507806282914687,3.00123983252437e-08,0.000227828533698238,6.78270969188821,23.8,4,0,0,0,5.80894231796265
"S3 skewed moderate tail",100,"d_max=30                             ",500,169.416896655281,0,0.0987911511016136,0.0215820957448467,0,0.0230546090478694,6.02926093347942,13.8,0.2,0,0,0,7.56383848190308
"S3 skewed moderate tail",100,"d_max=500                            ",500,169.416896655281,0,0.0231459372595026,0.0215820957448467,0,0.0136226315027903,6.02926093347942,8,0.2,0,0,0,7.98204231262207
"S3 skewed moderate tail",100,"d_min=0.2                            ",500,169.416896655355,0,1.20426648209104e-08,0.0215821985308111,0,2.4887448638669e-06,6.02924087537728,9.4,0.2,0,0,0,7.81405258178711
"S3 skewed moderate tail",100,"shipped:  w[.05,.95] d[.5,100] s>1e-6",500,169.416896655281,0,0,0.0215820957448467,0,0,6.02926093347942,9.4,0.2,0,0,0,7.74618053436279
"S3 skewed moderate tail",100,"sigma > 1e-3                         ",500,169.416896655603,0,1.4012061910762e-08,0.0215823149621988,0,3.53875251511911e-06,6.0292831982915,9.4,0.2,0,0,0,8.03202962875366
"S3 skewed moderate tail",100,"w[.01,.99]                           ",500,169.416896657801,-1.90993887372315e-11,2.07972220778174e-08,0.021582163213693,-3.45815954101714e-08,6.32292500424552e-06,6.02922423523271,9.4,0.2,0,0,0,7.77936744689941
"S3 skewed moderate tail",400,"d_max=30                             ",500,683.095536218871,0,0,0.0045238935768023,0,0,5.06302182045283,0,0,0,0,0,20.4565286636353
"S3 skewed moderate tail",400,"d_max=500                            ",500,683.095536218871,0,0,0.0045238935768023,0,0,5.06302182045283,0,0,0,0,0,20.4568872451782
"S3 skewed moderate tail",400,"d_min=0.2                            ",500,683.095536219906,0,2.67150028321339e-08,0.00452395195513368,0,8.08302725800605e-07,5.06302182045283,0,0,0,0,0,20.4508013725281
"S3 skewed moderate tail",400,"shipped:  w[.05,.95] d[.5,100] s>1e-6",500,683.095536218871,0,0,0.0045238935768023,0,0,5.06302182045283,0,0,0,0,0,20.4328379631042
"S3 skewed moderate tail",400,"sigma > 1e-3                         ",500,683.095536218871,0,2.62730452504911e-08,0.00452413439284717,0,7.3940176285904e-07,5.06294862423555,0,0,0,0,0,20.4208674430847
"S3 skewed moderate tail",400,"w[.01,.99]                           ",500,683.09553621433,-1.17267973109847e-10,5.36810489393247e-08,0.00452412794640993,8.80002411804241e-09,1.29242112246932e-06,5.06302314314111,0,0,0,0,0,20.4862504005432
"S4 skewed Cauchy tail",20,"d_max=30                             ",500,50.3942173792131,0,2.39026576309697e-10,0.140618803776459,0,1.5568600956618e-06,1.12100049768434,4,23.8,0,0,0,4.27968597412109
"S4 skewed Cauchy tail",20,"d_max=500                            ",500,50.3942173792131,0,0,0.140618803776459,0,0,1.12100049768434,3,23.8,0,0,0,4.61107110977173
"S4 skewed Cauchy tail",20,"d_min=0.2                            ",500,50.3942173791911,0,1.95981488815277e-08,0.141655221980537,0,2.02604692092517e-05,1.1209999190795,3.2,23.2,0,0,0,4.33369636535645
"S4 skewed Cauchy tail",20,"shipped:  w[.05,.95] d[.5,100] s>1e-6",500,50.3942173792131,0,0,0.140618803776459,0,0,1.12100049768434,3.2,23.8,0,0,0,4.28878116607666
"S4 skewed Cauchy tail",20,"sigma > 1e-3                         ",500,50.3942173792131,0,4.94176539689302e-09,0.140618803776459,0,9.05800170740017e-06,1.12100049768434,3.2,23.6,0,0,0,4.60990953445435
"S4 skewed Cauchy tail",20,"w[.01,.99]                           ",500,50.2572136274434,-1.18074439114935e-10,0.712943188826932,0.173473804057267,7.22671579085621e-07,0.605939554484933,1.15285624638723,2.8,30.2,0,0,0,4.91756534576416
