"config","n","reps","tmse_mle_median","tmse_oracle_median","tmse_ratio","kl0_mle_median","kl0_oracle_median","kl_oracle_ratio","oracle_benchmark","delta_hat_iqr","kl_ratio_minus_benchmark"
"S1 near-Gaussian symmetric",1000,1000,0.0072553095074392,0.0053477066589189,1.35671418987405,0.00152209485388134,0.00118009176490271,1.28981058859166,1.41873669958938,77.0026143398534,-0.128926110997718
"S2 symmetric heavy tail",1000,1000,0.00683400680349545,0.00460961081704576,1.48255613645823,0.00173516619115874,0.00121014613883364,1.43384847125251,1.41873669958938,0.22660907634211,0.0151117716631306
"S3 skewed moderate tail",1000,1000,0.00708496259636741,0.00518070713068365,1.36756670810544,0.00164262847640903,0.00111055122806037,1.47911094500157,1.41873669958938,1.06135618603968,0.060374245412198
"S4 skewed Cauchy tail",1000,1000,0.00674439210507504,0.00483402962384937,1.3951904787262,0.00165239645514279,0.00118735332883995,1.39166363963219,1.41873669958938,0.0751264764067247,-0.0270730599571902
